zone,track_id,class_id,class_name,dwell_frames,dwell_seconds
machine_service_area,2523,0,person,10,1.667
machine_service_area,2570,0,person,1,0.167
machine_service_area,2577,0,person,8,1.333
machine_service_area,2592,0,person,3,0.5
machine_service_area,2604,0,person,5,0.833
machine_service_area,2608,0,person,5,0.833
machine_service_area,2643,0,person,1,0.167
machine_service_area,2661,0,person,2,0.333
machine_service_area,2746,0,person,1,0.167
machine_service_area,2809,0,person,5,0.833
machine_service_area,2913,0,person,7,1.167
machine_service_area,2917,0,person,9,1.5
machine_service_area,2921,0,person,5,0.833
machine_service_area,2927,0,person,31,5.167
machine_service_area,2952,0,person,21,3.5
machine_service_area,2957,0,person,9,1.5
machine_service_area,2961,0,person,13,2.167
machine_service_area,2973,0,person,1,0.167
machine_service_area,2988,0,person,2,0.333
machine_service_area,2991,0,person,5,0.833
machine_service_area,2999,0,person,11,1.833
machine_service_area,3003,0,person,32,5.333
machine_service_area,3011,0,person,41,6.833
machine_service_area,3020,0,person,27,4.5
machine_service_area,3057,0,person,20,3.333
machine_service_area,3102,0,person,9,1.5
machine_service_area,3114,0,person,49,8.167
rack_buffer_area,11,0,person,4,0.667
rack_buffer_area,44,0,person,21,3.5
rack_buffer_area,49,0,person,99,16.5
rack_buffer_area,70,0,person,13,2.167
rack_buffer_area,78,0,person,9,1.5
rack_buffer_area,81,0,person,113,18.833
rack_buffer_area,84,0,person,12,2.0
rack_buffer_area,111,1,vat,244,40.667
rack_buffer_area,131,1,vat,2,0.333
rack_buffer_area,143,0,person,5,0.833
rack_buffer_area,145,1,vat,4,0.667
rack_buffer_area,157,0,person,2,0.333
rack_buffer_area,162,0,person,2,0.333
rack_buffer_area,183,0,person,35,5.833
rack_buffer_area,187,0,person,173,28.833
rack_buffer_area,193,0,person,12,2.0
rack_buffer_area,197,0,person,9,1.5
rack_buffer_area,199,0,person,10,1.667
rack_buffer_area,285,0,person,60,10.0
rack_buffer_area,297,0,person,21,3.5
rack_buffer_area,301,0,person,105,17.5
rack_buffer_area,329,0,person,40,6.667
rack_buffer_area,341,0,person,56,9.333
rack_buffer_area,354,0,person,547,91.167
rack_buffer_area,362,0,person,2,0.333
rack_buffer_area,369,0,person,92,15.333
rack_buffer_area,387,0,person,11,1.833
rack_buffer_area,397,0,person,68,11.333
rack_buffer_area,408,0,person,7,1.167
rack_buffer_area,414,0,person,4,0.667
rack_buffer_area,421,0,person,4,0.667
rack_buffer_area,424,0,person,269,44.833
rack_buffer_area,466,0,person,33,5.5
rack_buffer_area,490,0,person,28,4.667
rack_buffer_area,507,0,person,2,0.333
rack_buffer_area,508,0,person,22,3.667
rack_buffer_area,534,0,person,15,2.5
rack_buffer_area,564,0,person,9,1.5
rack_buffer_area,567,0,person,159,26.5
rack_buffer_area,583,0,person,8,1.333
rack_buffer_area,586,0,person,1,0.167
rack_buffer_area,588,0,person,8,1.333
rack_buffer_area,603,0,person,9,1.5
rack_buffer_area,619,0,person,130,21.667
rack_buffer_area,625,0,person,79,13.167
rack_buffer_area,631,0,person,7,1.167
rack_buffer_area,634,0,person,97,16.167
rack_buffer_area,668,0,person,22,3.667
rack_buffer_area,677,0,person,10,1.667
rack_buffer_area,682,0,person,2,0.333
rack_buffer_area,691,0,person,3,0.5
rack_buffer_area,693,0,person,2,0.333
rack_buffer_area,694,0,person,10,1.667
rack_buffer_area,695,0,person,5,0.833
rack_buffer_area,698,0,person,49,8.167
rack_buffer_area,718,0,person,7,1.167
rack_buffer_area,719,0,person,11,1.833
rack_buffer_area,721,0,person,1,0.167
rack_buffer_area,752,0,person,5,0.833
rack_buffer_area,884,0,person,6,1.0
rack_buffer_area,891,0,person,9,1.5
rack_buffer_area,933,0,person,1,0.167
rack_buffer_area,958,0,person,5,0.833
rack_buffer_area,976,0,person,4,0.667
rack_buffer_area,978,0,person,10,1.667
rack_buffer_area,985,0,person,4,0.667
rack_buffer_area,995,0,person,23,3.833
rack_buffer_area,1015,0,person,50,8.333
rack_buffer_area,1018,0,person,15,2.5
rack_buffer_area,1026,0,person,2,0.333
rack_buffer_area,1038,0,person,15,2.5
rack_buffer_area,1046,0,person,2,0.333
rack_buffer_area,1156,0,person,7,1.167
rack_buffer_area,1157,0,person,17,2.833
rack_buffer_area,1160,0,person,3,0.5
rack_buffer_area,1169,0,person,1,0.167
rack_buffer_area,1172,0,person,5,0.833
rack_buffer_area,1184,0,person,2,0.333
rack_buffer_area,1192,0,person,8,1.333
rack_buffer_area,1194,0,person,5,0.833
rack_buffer_area,1198,0,person,1,0.167
rack_buffer_area,1225,0,person,8,1.333
rack_buffer_area,1235,0,person,4,0.667
rack_buffer_area,1243,0,person,13,2.167
rack_buffer_area,1350,0,person,13,2.167
rack_buffer_area,1363,0,person,1,0.167
rack_buffer_area,1365,0,person,2,0.333
rack_buffer_area,1367,0,person,1,0.167
rack_buffer_area,1371,0,person,7,1.167
rack_buffer_area,1381,0,person,17,2.833
rack_buffer_area,1438,0,person,9,1.5
rack_buffer_area,1454,0,person,2,0.333
rack_buffer_area,1456,0,person,11,1.833
rack_buffer_area,1521,0,person,18,3.0
rack_buffer_area,1526,0,person,4,0.667
rack_buffer_area,1757,0,person,22,3.667
rack_buffer_area,1802,0,person,14,2.333
rack_buffer_area,1914,0,person,12,2.0
rack_buffer_area,1915,0,person,44,7.333
rack_buffer_area,1916,0,person,2,0.333
rack_buffer_area,1922,0,person,15,2.5
rack_buffer_area,1955,0,person,10,1.667
rack_buffer_area,2027,0,person,2,0.333
rack_buffer_area,2081,0,person,1,0.167
rack_buffer_area,2082,0,person,5,0.833
rack_buffer_area,2121,0,person,24,4.0
rack_buffer_area,2123,0,person,6,1.0
rack_buffer_area,2143,0,person,6,1.0
rack_buffer_area,2182,0,person,114,19.0
rack_buffer_area,2224,0,person,29,4.833
rack_buffer_area,2252,0,person,3,0.5
rack_buffer_area,2260,0,person,2,0.333
rack_buffer_area,2285,0,person,8,1.333
rack_buffer_area,2290,1,vat,33,5.5
rack_buffer_area,2329,1,vat,12,2.0
rack_buffer_area,2349,0,person,10,1.667
rack_buffer_area,2350,1,vat,58,9.667
rack_buffer_area,2363,1,vat,8,1.333
rack_buffer_area,2436,0,person,2,0.333
rack_buffer_area,2445,0,person,18,3.0
rack_buffer_area,2449,0,person,1,0.167
rack_buffer_area,2465,0,person,47,7.833
rack_buffer_area,2471,0,person,177,29.5
rack_buffer_area,2472,0,person,2,0.333
rack_buffer_area,2477,0,person,7,1.167
rack_buffer_area,2478,0,person,2,0.333
rack_buffer_area,2480,0,person,10,1.667
rack_buffer_area,2484,0,person,1,0.167
rack_buffer_area,2494,0,person,6,1.0
rack_buffer_area,2497,0,person,4,0.667
rack_buffer_area,2506,0,person,2,0.333
rack_buffer_area,2512,0,person,19,3.167
rack_buffer_area,2517,0,person,6,1.0
rack_buffer_area,2521,0,person,4,0.667
rack_buffer_area,2529,0,person,9,1.5
rack_buffer_area,2532,0,person,5,0.833
rack_buffer_area,2533,0,person,1510,251.667
rack_buffer_area,2539,0,person,1,0.167
rack_buffer_area,2541,0,person,1,0.167
rack_buffer_area,2555,0,person,53,8.833
rack_buffer_area,2556,0,person,121,20.167
rack_buffer_area,2562,0,person,4,0.667
rack_buffer_area,2572,0,person,2,0.333
rack_buffer_area,2573,0,person,2,0.333
rack_buffer_area,2576,0,person,1,0.167
rack_buffer_area,2579,0,person,67,11.167
rack_buffer_area,2587,0,person,23,3.833
rack_buffer_area,2592,0,person,1,0.167
rack_buffer_area,2594,0,person,2,0.333
rack_buffer_area,2612,0,person,2,0.333
rack_buffer_area,2613,0,person,9,1.5
rack_buffer_area,2619,0,person,4,0.667
rack_buffer_area,2623,0,person,18,3.0
rack_buffer_area,2626,0,person,6,1.0
rack_buffer_area,2627,0,person,4,0.667
rack_buffer_area,2640,0,person,8,1.333
rack_buffer_area,2641,0,person,15,2.5
rack_buffer_area,2650,0,person,4,0.667
rack_buffer_area,2652,0,person,51,8.5
rack_buffer_area,2668,0,person,59,9.833
rack_buffer_area,2682,0,person,9,1.5
rack_buffer_area,2686,0,person,6,1.0
rack_buffer_area,2687,0,person,13,2.167
rack_buffer_area,2691,0,person,65,10.833
rack_buffer_area,2692,0,person,3,0.5
rack_buffer_area,2697,0,person,25,4.167
rack_buffer_area,2698,0,person,5,0.833
rack_buffer_area,2704,0,person,15,2.5
rack_buffer_area,2705,0,person,2,0.333
rack_buffer_area,2708,0,person,2,0.333
rack_buffer_area,2710,0,person,23,3.833
rack_buffer_area,2720,0,person,27,4.5
rack_buffer_area,2721,0,person,12,2.0
rack_buffer_area,2725,0,person,10,1.667
rack_buffer_area,2728,0,person,1,0.167
rack_buffer_area,2736,0,person,20,3.333
rack_buffer_area,2743,0,person,26,4.333
rack_buffer_area,2747,0,person,4,0.667
rack_buffer_area,2749,0,person,19,3.167
rack_buffer_area,2754,0,person,1,0.167
rack_buffer_area,2756,0,person,108,18.0
rack_buffer_area,2760,0,person,1,0.167
rack_buffer_area,2767,0,person,21,3.5
rack_buffer_area,2775,0,person,52,8.667
rack_buffer_area,2786,0,person,3,0.5
rack_buffer_area,2792,0,person,63,10.5
rack_buffer_area,2804,0,person,2,0.333
rack_buffer_area,2806,0,person,76,12.667
rack_buffer_area,2811,0,person,170,28.333
rack_buffer_area,2814,0,person,344,57.333
rack_buffer_area,2829,0,person,53,8.833
rack_buffer_area,2839,0,person,10,1.667
