frame_id,relative_frame,timestamp_seconds,timestamp_hms,left_transit_lane_total,left_transit_lane_person,left_transit_lane_vat,rack_buffer_area_total,rack_buffer_area_person,rack_buffer_area_vat,machine_service_area_total,machine_service_area_person,machine_service_area_vat,front_vat_staging_total,front_vat_staging_person,front_vat_staging_vat,right_loading_area_total,right_loading_area_person,right_loading_area_vat
123,123,20.333,00:00:20,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
124,124,20.5,00:00:20,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
125,125,20.667,00:00:20,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
126,126,20.833,00:00:20,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
127,127,21.0,00:00:21,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
128,128,21.167,00:00:21,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
129,129,21.333,00:00:21,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
130,130,21.5,00:00:21,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
131,131,21.667,00:00:21,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
132,132,21.833,00:00:21,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
133,133,22.0,00:00:22,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
134,134,22.167,00:00:22,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
135,135,22.333,00:00:22,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
136,136,22.5,00:00:22,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
137,137,22.667,00:00:22,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
138,138,22.833,00:00:22,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
139,139,23.0,00:00:23,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
140,140,23.167,00:00:23,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
141,141,23.333,00:00:23,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
142,142,23.5,00:00:23,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
143,143,23.667,00:00:23,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
144,144,23.833,00:00:23,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
145,145,24.0,00:00:24,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
146,146,24.167,00:00:24,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
147,147,24.333,00:00:24,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
148,148,24.5,00:00:24,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
149,149,24.667,00:00:24,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
150,150,24.833,00:00:24,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
151,151,25.0,00:00:25,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
152,152,25.167,00:00:25,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
153,153,25.333,00:00:25,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
154,154,25.5,00:00:25,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
155,155,25.667,00:00:25,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
156,156,25.833,00:00:25,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
157,157,26.0,00:00:26,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
158,158,26.167,00:00:26,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
159,159,26.333,00:00:26,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
160,160,26.5,00:00:26,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
161,161,26.667,00:00:26,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
162,162,26.833,00:00:26,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
163,163,27.0,00:00:27,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
164,164,27.167,00:00:27,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
165,165,27.333,00:00:27,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
166,166,27.5,00:00:27,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
167,167,27.667,00:00:27,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
168,168,27.833,00:00:27,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
169,169,28.0,00:00:28,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
170,170,28.167,00:00:28,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
171,171,28.333,00:00:28,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
172,172,28.5,00:00:28,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
173,173,28.667,00:00:28,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
174,174,28.833,00:00:28,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
175,175,29.0,00:00:29,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
176,176,29.167,00:00:29,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
177,177,29.333,00:00:29,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
178,178,29.5,00:00:29,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
179,179,29.667,00:00:29,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
180,180,29.833,00:00:29,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
181,181,30.0,00:00:30,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
182,182,30.167,00:00:30,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
183,183,30.333,00:00:30,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
184,184,30.5,00:00:30,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
185,185,30.667,00:00:30,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
186,186,30.833,00:00:30,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
187,187,31.0,00:00:31,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
188,188,31.167,00:00:31,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
189,189,31.333,00:00:31,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
190,190,31.5,00:00:31,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
191,191,31.667,00:00:31,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
192,192,31.833,00:00:31,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
193,193,32.0,00:00:32,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
194,194,32.167,00:00:32,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
195,195,32.333,00:00:32,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
196,196,32.5,00:00:32,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
197,197,32.667,00:00:32,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
198,198,32.833,00:00:32,0,0,0,0,0,0,1,1,0,3,0,3,0,0,0
199,199,33.0,00:00:33,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0
200,200,33.167,00:00:33,0,0,0,0,0,0,1,1,0,3,0,3,0,0,0
201,201,33.333,00:00:33,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
202,202,33.5,00:00:33,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
203,203,33.667,00:00:33,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
204,204,33.833,00:00:33,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
